isbn|isbn10or13|title|full_title|author|revision#|publishers|publish_date|genres
081257639X|10|Faith of the Fallen (Sword of Truth, Book 6)||Terry Goodkind|10|Tor Books|November 15, 2001|Fantasy fiction, Fiction, Fiction - Fantasy, Fantasy, Fantasy - Epic, Fantasy - Series, Fiction / Fantasy / General
055357938x|10|The heart of Myrial||Maggie Furey|8|Bantam Books|2000|Fantasy / High-Fantasy
0553293354|10|Foundation||Isaac Asimov|14|Spectra|October 1, 1991|Science Fiction - Series, Fiction - Science Fiction, Science Fiction, Science Fiction - High Tech, Fiction / Science Fiction / High Tech
0886774632|10|By the Sword (Kerowyn's Tale)||Mercedes Lackey|9|DAW|February 5, 1991|Fantasy, Fiction, Fiction - Fantasy, FIC, FIC009020, Fantasy - General, Fiction / Fantasy / Epic, Fantasy - Epic
067149175X|10|The Mote in God's Eye||Jerry Pournelle|6|Pocket|May 3, 1983|Science Fiction - General, Fiction / Science Fiction / General, Fiction - Science Fiction
0345335511|10|Pawn of Prophecy (The Belgariad, Book 1)|||10|Del Rey|January 13, 1986|Science fiction, Fantasy - Series, Fiction / Fantasy / General, Fiction - Fantasy, Fantastic fiction, Fantasy
9781622038930|13|We Do|We Do Saying Yes to a Relationship of Depth, True Connection, and Enduring Love|Stan Tatkin|1|Sounds True, Incorporated|2018|Marriage, psychological aspects, Intimacy (psychology), Interpersonal relations, Interpersonal conflict
1617293725|10|Kubernetes in Action||Marko Luksa|2|Manning Publications|Jan 20, 2018|Technical, Infrastructure
9781449340377|13|Python Cookbook, Third edition||Brian K. Jones|4|O'Reilly Media|Jun 01, 2013|Technical, Computer Programming, Reference Works
9781617292187|13|PowerShell in Depth||Richard Siddaway|3|Manning Publications|Nov 14, 2014|Technical, Computer Programming, Reference Works
NA|NA|Beginning Chinese||John DeFrancis||Yale University Press|1963|Language
9781622038930|13|We Do|We Do Saying Yes to a Relationship of Depth, True Connection, and Enduring Love|Stan Tatkin|1|Sounds True, Incorporated|2018|Marriage, psychological aspects, Intimacy (psychology), Interpersonal relations, Interpersonal conflict
9781565844759|13|On language||Noam Chomsky|5|New Press|1998|Language and languages
9780765344328|13|Phantom||Terry Goodkind|8|Tor Fantasy|May 29, 2007|Science Fiction And Fantasy, Fiction, Fiction - Fantasy, Fantasy, Fantasy - Epic, Fiction / Fantasy / Epic
9780765344311|13|Chainfire||Terry Goodkind|6|Tor Fantasy|November 29, 2005|sears, Fiction, Fiction - Fantasy, Fantasy, Fantasy - Epic, Fiction / Fantasy / Epic, Fantasy fiction., NJBwBT
9780812548051|13|Wizard's First Rule (Sword of Truth, Book 1)||Terry Goodkind|8|Tor Fantasy|July 15, 1997|Fantasy - Series, Fiction, Fiction - Fantasy, Fantasy, Fantasy - Epic, Fiction / Fantasy / Epic, Fantasy - General
0553573292|10|Bright Messengers||Arthur C. Clarke|6|Bantam|April 1, 1996|Science Fiction - General, Fiction / Science Fiction / General, Fiction - Science Fiction, Science Fiction
0812550919|10|Shame of Man (Geodyssey)||Piers Anthony|7|Tor Fantasy|December 15, 1995|Fantasy fiction, Fiction, Fiction - Fantasy, Fantasy, FIC, FIC009000, Fantasy - Series, Fiction / Fantasy / General, Fantasy - General
0553286005|10|The Lost King (Star of the Guardians, Vol 1)||Margaret Weis|8|Spectra|August 1, 1990|Science Fiction - General, Fiction - Fantasy, Fantasy - General, Fiction / Science Fiction / General, Science Fiction
1565924975|10|vi Editor||Arnold Robbins|11|O?Reilly Media|January 1999|Computer Programming, Computer Software Packages, Reference works, Word Processing - General, Text editors (Computer program, Microcomputer Text Processing Software, Unix (Operating System), Computers, Computers - Operating Systems, Vi, Computer Books: Operating Systems, Text editors (Computer programs), Operating Systems - UNIX, Programming Languages - General, Computers / Operating Systems, Computers / Operating Systems / UNIX, Computers/Programming Languages - General, Computers/Word Processing - General, UNIX (Computer file)
0345320654|10|The integral trees|The integral trees|Larry Niven|6|Ballantine|1985|American Science fiction
1592400809|10|Latin for all occasions||Jean Little|11|Gotham Books|2004|Latin language -- Conversation and phrase books -- English, Latin language -- Humor
0451124340|10|Different Seasons||Stephen King|10|New American Library|1983-08|Horror tales., Motion picture fiction., Short stories.
0393978893|10|Wuthering Heights||Emily Bront?|12|W.W. Norton & Company|2003|Bront?, Emily, -- 1818-1848, Triangles (Interpersonal relations) -- Fiction, Rejection (Psychology) -- Fiction, Rural families -- Fiction, Foundlings -- Fiction, Yorkshire (England) -- Fiction
9780553418026|13|The Martian|||7|Broadway Books|2014|
9780525555384|13|Turtles All the Way Down|Turtles All the Way Down|John Green|3|Dutton Books for Young Readers|Oct 10, 2017|
9780544586505|13|The inexplicable logic of my life||Benjamin Alire S?enz|3||2017|Children of gay parents, Death, Families, Juvenile fiction, High school students, Fiction, Mexican Americans, Adoption, Friendship, Identity, Identity (Psychology)
9781435122963|13|H. P. Lovecraft ? The Complete Fiction|||6|Barnes & Noble, Inc.|2011|
9780525478812|13|The fault in our stars|||6|Dutton Books|2012|
9780679732761|13|Invisible Man||Ralph Ellison|13|Vintage International|1995|African American men -- Fiction
9780062066312|13|How to Archer|||6|It Books|January 17, 2012|
9781250153708|13|The Adventure Zone|||8|First Second|2018|
9780812995541|13|BeastieBoysbook||Mike D|2||2018|Rap musicians, Beastie Boys, Biography
9781401245252|13|Watchmen|Watchmen|Alan Moore (undifferentiated)|7||2013|Superheroes, Crimes against, Comic books, strips
NA|NA|Scared To Death|Scared To Death - Fan Stories Collection|Dan Cummins, Lynze Cummins|||2020|Horror, Anthology
9781774021743|13|The Phantom Of The Opera||Gatson Leroux|||2019|Opera, Mystery

